

Ente;Liste/Gruppi;Voti;
CAVAGLIA';LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;209;;
CAVAGLIA';FRATELLI D'ITALIA - ALLEANZA NAZIONALE;73;;
CAVAGLIA';L'ALTRA EUROPA CON TSIPRAS;56;;
CAVAGLIA';NUOVO CENTRO DESTRA - UDC;51;;
CAVAGLIA';SCELTA EUROPEA;28;;
CAVAGLIA';VERDI EUROPEI-GREEN ITALIA;19;;
CAVAGLIA';ITALIA DEI VALORI;15;;
CAVAGLIA';IO CAMBIO - MAIE;9;;
CERRETO CASTELLO;PARTITO DEMOCRATICO;161;;
CERRETO CASTELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;81;;
CERRETO CASTELLO;FORZA ITALIA;64;;
CERRETO CASTELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;36;;
CERRETO CASTELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CERRETO CASTELLO;VERDI EUROPEI-GREEN ITALIA;9;;
CERRETO CASTELLO;L'ALTRA EUROPA CON TSIPRAS;8;;
CERRETO CASTELLO;NUOVO CENTRO DESTRA - UDC;5;;
CERRETO CASTELLO;ITALIA DEI VALORI;4;;
CERRETO CASTELLO;SCELTA EUROPEA;2;;
CERRETO CASTELLO;IO CAMBIO - MAIE;0;;
CERRIONE;PARTITO DEMOCRATICO;531;;
CERRIONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;365;;
CERRIONE;FORZA ITALIA;313;;
CERRIONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;237;;
CERRIONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;71;;
CERRIONE;NUOVO CENTRO DESTRA - UDC;34;;
CERRIONE;SCELTA EUROPEA;30;;
CERRIONE;L'ALTRA EUROPA CON TSIPRAS;28;;
CERRIONE;VERDI EUROPEI-GREEN ITALIA;16;;
CERRIONE;ITALIA DEI VALORI;14;;
CERRIONE;IO CAMBIO - MAIE;8;;
COGGIOLA;PARTITO DEMOCRATICO;513;;
COGGIOLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;118;;
COGGIOLA;FORZA ITALIA;115;;
COGGIOLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;95;;
COGGIOLA;L'ALTRA EUROPA CON TSIPRAS;34;;
COGGIOLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
COGGIOLA;NUOVO CENTRO DESTRA - UDC;24;;
COGGIOLA;ITALIA DEI VALORI;8;;
COGGIOLA;SCELTA EUROPEA;8;;
COGGIOLA;VERDI EUROPEI-GREEN ITALIA;5;;
COGGIOLA;IO CAMBIO - MAIE;0;;
COSSATO;PARTITO DEMOCRATICO;3235;;
COSSATO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1603;;
COSSATO;FORZA ITALIA;1293;;
COSSATO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1042;;
COSSATO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;260;;
COSSATO;L'ALTRA EUROPA CON TSIPRAS;195;;
COSSATO;NUOVO CENTRO DESTRA - UDC;188;;
COSSATO;SCELTA EUROPEA;96;;
COSSATO;VERDI EUROPEI-GREEN ITALIA;66;;
COSSATO;ITALIA DEI VALORI;47;;
COSSATO;IO CAMBIO - MAIE;26;;
CREVACUORE;PARTITO DEMOCRATICO;364;;
CREVACUORE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;176;;
CREVACUORE;FORZA ITALIA;157;;
CREVACUORE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;137;;
CREVACUORE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;30;;
CREVACUORE;NUOVO CENTRO DESTRA - UDC;18;;
CREVACUORE;ITALIA DEI VALORI;14;;
CREVACUORE;L'ALTRA EUROPA CON TSIPRAS;12;;
CREVACUORE;VERDI EUROPEI-GREEN ITALIA;9;;
CREVACUORE;SCELTA EUROPEA;5;;
CREVACUORE;IO CAMBIO - MAIE;2;;
CROSA;PARTITO DEMOCRATICO;68;;
CROSA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;25;;
CROSA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;25;;
CROSA;FORZA ITALIA;24;;
CROSA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CROSA;NUOVO CENTRO DESTRA - UDC;5;;
CROSA;VERDI EUROPEI-GREEN ITALIA;4;;
CROSA;SCELTA EUROPEA;2;;
CROSA;L'ALTRA EUROPA CON TSIPRAS;1;;
CROSA;ITALIA DEI VALORI;0;;
CROSA;IO CAMBIO - MAIE;0;;
CURINO;PARTITO DEMOCRATICO;86;;
CURINO;FORZA ITALIA;55;;
CURINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;43;;
CURINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;31;;
CURINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
CURINO;NUOVO CENTRO DESTRA - UDC;6;;
CURINO;L'ALTRA EUROPA CON TSIPRAS;5;;
CURINO;VERDI EUROPEI-GREEN ITALIA;4;;
CURINO;SCELTA EUROPEA;2;;
CURINO;ITALIA DEI VALORI;0;;
CURINO;IO CAMBIO - MAIE;0;;
DONATO;PARTITO DEMOCRATICO;111;;
DONATO;FORZA ITALIA;70;;
DONATO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;61;;
DONATO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;37;;
DONATO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;13;;
DONATO;L'ALTRA EUROPA CON TSIPRAS;11;;
DONATO;VERDI EUROPEI-GREEN ITALIA;7;;
DONATO;SCELTA EUROPEA;5;;
DONATO;NUOVO CENTRO DESTRA - UDC;4;;
DONATO;ITALIA DEI VALORI;0;;
DONATO;IO CAMBIO - MAIE;0;;
DORZANO;PARTITO DEMOCRATICO;94;;
DORZANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;63;;
DORZANO;FORZA ITALIA;43;;
DORZANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;30;;
DORZANO;NUOVO CENTRO DESTRA - UDC;7;;
DORZANO;L'ALTRA EUROPA CON TSIPRAS;6;;
DORZANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
