

Ente;Liste/Gruppi;Voti;
CHIUSI DELLA VERNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;41;;
CHIUSI DELLA VERNA;IO CAMBIO - MAIE;9;;
CHIUSI DELLA VERNA;SCELTA EUROPEA;7;;
CHIUSI DELLA VERNA;ITALIA DEI VALORI;5;;
CHIUSI DELLA VERNA;VERDI EUROPEI-GREEN ITALIA;4;;
CIVITELLA IN VAL DI CHIANA;PARTITO DEMOCRATICO;2655;;
CIVITELLA IN VAL DI CHIANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;763;;
CIVITELLA IN VAL DI CHIANA;FORZA ITALIA;554;;
CIVITELLA IN VAL DI CHIANA;NUOVO CENTRO DESTRA - UDC;151;;
CIVITELLA IN VAL DI CHIANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;132;;
CIVITELLA IN VAL DI CHIANA;L'ALTRA EUROPA CON TSIPRAS;108;;
CIVITELLA IN VAL DI CHIANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;92;;
CIVITELLA IN VAL DI CHIANA;VERDI EUROPEI-GREEN ITALIA;31;;
CIVITELLA IN VAL DI CHIANA;ITALIA DEI VALORI;18;;
CIVITELLA IN VAL DI CHIANA;SCELTA EUROPEA;17;;
CIVITELLA IN VAL DI CHIANA;IO CAMBIO - MAIE;6;;
CORTONA;PARTITO DEMOCRATICO;6784;;
CORTONA;FORZA ITALIA;1929;;
CORTONA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1712;;
CORTONA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;586;;
CORTONA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;550;;
CORTONA;L'ALTRA EUROPA CON TSIPRAS;379;;
CORTONA;NUOVO CENTRO DESTRA - UDC;300;;
CORTONA;VERDI EUROPEI-GREEN ITALIA;78;;
CORTONA;ITALIA DEI VALORI;46;;
CORTONA;SCELTA EUROPEA;30;;
CORTONA;IO CAMBIO - MAIE;23;;
FOIANO DELLA CHIANA;PARTITO DEMOCRATICO;2559;;
FOIANO DELLA CHIANA;FORZA ITALIA;804;;
FOIANO DELLA CHIANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;724;;
FOIANO DELLA CHIANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;146;;
FOIANO DELLA CHIANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;119;;
FOIANO DELLA CHIANA;NUOVO CENTRO DESTRA - UDC;113;;
FOIANO DELLA CHIANA;L'ALTRA EUROPA CON TSIPRAS;105;;
FOIANO DELLA CHIANA;ITALIA DEI VALORI;33;;
FOIANO DELLA CHIANA;VERDI EUROPEI-GREEN ITALIA;28;;
FOIANO DELLA CHIANA;SCELTA EUROPEA;9;;
FOIANO DELLA CHIANA;IO CAMBIO - MAIE;7;;
