

Ente;Liste/Gruppi;Voti;
MERGO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;146;;
MERGO;FORZA ITALIA;58;;
MERGO;NUOVO CENTRO DESTRA - UDC;56;;
MERGO;L'ALTRA EUROPA CON TSIPRAS;37;;
MERGO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
MERGO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;13;;
MERGO;ITALIA DEI VALORI;6;;
MERGO;VERDI EUROPEI-GREEN ITALIA;4;;
MERGO;SCELTA EUROPEA;2;;
MERGO;IO CAMBIO - MAIE;1;;
MONSANO;PARTITO DEMOCRATICO;1027;;
MONSANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;517;;
MONSANO;FORZA ITALIA;163;;
MONSANO;L'ALTRA EUROPA CON TSIPRAS;86;;
MONSANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;72;;
MONSANO;NUOVO CENTRO DESTRA - UDC;53;;
MONSANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;38;;
MONSANO;ITALIA DEI VALORI;23;;
MONSANO;VERDI EUROPEI-GREEN ITALIA;19;;
MONSANO;SCELTA EUROPEA;14;;
MONSANO;IO CAMBIO - MAIE;6;;
MONTECAROTTO;PARTITO DEMOCRATICO;664;;
MONTECAROTTO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;260;;
MONTECAROTTO;FORZA ITALIA;91;;
MONTECAROTTO;L'ALTRA EUROPA CON TSIPRAS;60;;
MONTECAROTTO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;37;;
MONTECAROTTO;NUOVO CENTRO DESTRA - UDC;19;;
MONTECAROTTO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;18;;
MONTECAROTTO;VERDI EUROPEI-GREEN ITALIA;6;;
MONTECAROTTO;ITALIA DEI VALORI;4;;
MONTECAROTTO;SCELTA EUROPEA;3;;
