

Ente;Liste/Gruppi;Voti;
SALEMI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1462;;
SALEMI;FORZA ITALIA;1374;;
SALEMI;NUOVO CENTRO DESTRA - UDC;492;;
SALEMI;L'ALTRA EUROPA CON TSIPRAS;422;;
SALEMI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;316;;
SALEMI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;59;;
SALEMI;ITALIA DEI VALORI;46;;
SALEMI;VERDI EUROPEI-GREEN ITALIA;34;;
SALEMI;SCELTA EUROPEA;24;;
SALEMI;IO CAMBIO - MAIE;19;;
SANTA NINFA;PARTITO DEMOCRATICO;1000;;
SANTA NINFA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;518;;
SANTA NINFA;FORZA ITALIA;187;;
SANTA NINFA;NUOVO CENTRO DESTRA - UDC;166;;
SANTA NINFA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;55;;
SANTA NINFA;L'ALTRA EUROPA CON TSIPRAS;20;;
SANTA NINFA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
SANTA NINFA;ITALIA DEI VALORI;5;;
SANTA NINFA;IO CAMBIO - MAIE;4;;
SANTA NINFA;VERDI EUROPEI-GREEN ITALIA;3;;
SANTA NINFA;SCELTA EUROPEA;1;;
SAN VITO LO CAPO;PARTITO DEMOCRATICO;454;;
SAN VITO LO CAPO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;314;;
SAN VITO LO CAPO;FORZA ITALIA;274;;
SAN VITO LO CAPO;NUOVO CENTRO DESTRA - UDC;59;;
SAN VITO LO CAPO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;35;;
SAN VITO LO CAPO;L'ALTRA EUROPA CON TSIPRAS;17;;
SAN VITO LO CAPO;VERDI EUROPEI-GREEN ITALIA;9;;
SAN VITO LO CAPO;IO CAMBIO - MAIE;5;;
SAN VITO LO CAPO;SCELTA EUROPEA;4;;
SAN VITO LO CAPO;ITALIA DEI VALORI;4;;
