

Ente;Liste/Gruppi;Voti;
SEMPRONIANO;ITALIA DEI VALORI;1;;
SEMPRONIANO;IO CAMBIO - MAIE;0;;
SORANO;PARTITO DEMOCRATICO;1038;;
SORANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;414;;
SORANO;FORZA ITALIA;304;;
SORANO;L'ALTRA EUROPA CON TSIPRAS;97;;
SORANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;90;;
SORANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;51;;
SORANO;NUOVO CENTRO DESTRA - UDC;44;;
SORANO;VERDI EUROPEI-GREEN ITALIA;12;;
SORANO;ITALIA DEI VALORI;10;;
SORANO;IO CAMBIO - MAIE;8;;
SORANO;SCELTA EUROPEA;7;;
