

Ente;Liste/Gruppi;Voti;
DAVAGNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;31;;
DAVAGNA;NUOVO CENTRO DESTRA - UDC;16;;
DAVAGNA;VERDI EUROPEI-GREEN ITALIA;14;;
DAVAGNA;SCELTA EUROPEA;13;;
DAVAGNA;ITALIA DEI VALORI;5;;
DAVAGNA;IO CAMBIO - MAIE;0;;
FASCIA;PARTITO DEMOCRATICO;19;;
FASCIA;FORZA ITALIA;14;;
FASCIA;NUOVO CENTRO DESTRA - UDC;9;;
FASCIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
FASCIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;5;;
FASCIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1;;
FASCIA;ITALIA DEI VALORI;1;;
FASCIA;IO CAMBIO - MAIE;0;;
FASCIA;L'ALTRA EUROPA CON TSIPRAS;0;;
FASCIA;VERDI EUROPEI-GREEN ITALIA;0;;
FASCIA;SCELTA EUROPEA;0;;
FAVALE DI MALVARO;PARTITO DEMOCRATICO;68;;
FAVALE DI MALVARO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;59;;
FAVALE DI MALVARO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;27;;
FAVALE DI MALVARO;FORZA ITALIA;23;;
FAVALE DI MALVARO;NUOVO CENTRO DESTRA - UDC;18;;
FAVALE DI MALVARO;VERDI EUROPEI-GREEN ITALIA;5;;
FAVALE DI MALVARO;L'ALTRA EUROPA CON TSIPRAS;5;;
FAVALE DI MALVARO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
FAVALE DI MALVARO;ITALIA DEI VALORI;3;;
FAVALE DI MALVARO;IO CAMBIO - MAIE;1;;
FAVALE DI MALVARO;SCELTA EUROPEA;0;;
FONTANIGORDA;PARTITO DEMOCRATICO;81;;
FONTANIGORDA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;34;;
FONTANIGORDA;FORZA ITALIA;19;;
FONTANIGORDA;NUOVO CENTRO DESTRA - UDC;8;;
FONTANIGORDA;L'ALTRA EUROPA CON TSIPRAS;7;;
FONTANIGORDA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
FONTANIGORDA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
FONTANIGORDA;SCELTA EUROPEA;3;;
FONTANIGORDA;VERDI EUROPEI-GREEN ITALIA;1;;
FONTANIGORDA;ITALIA DEI VALORI;0;;
FONTANIGORDA;IO CAMBIO - MAIE;0;;
GENOVA;PARTITO DEMOCRATICO;121949;;
GENOVA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;76751;;
GENOVA;FORZA ITALIA;29637;;
GENOVA;L'ALTRA EUROPA CON TSIPRAS;14930;;
GENOVA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;10480;;
GENOVA;NUOVO CENTRO DESTRA - UDC;7238;;
GENOVA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6041;;
GENOVA;SCELTA EUROPEA;2818;;
GENOVA;VERDI EUROPEI-GREEN ITALIA;2416;;
GENOVA;ITALIA DEI VALORI;1082;;
GENOVA;IO CAMBIO - MAIE;227;;
GORRETO;FORZA ITALIA;19;;
GORRETO;NUOVO CENTRO DESTRA - UDC;16;;
GORRETO;PARTITO DEMOCRATICO;13;;
