

Ente;Liste/Gruppi;Voti;
JOPPOLO;VERDI EUROPEI-GREEN ITALIA;1;;
JOPPOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
LIMBADI;PARTITO DEMOCRATICO;430;;
LIMBADI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;183;;
LIMBADI;FORZA ITALIA;162;;
LIMBADI;NUOVO CENTRO DESTRA - UDC;94;;
LIMBADI;L'ALTRA EUROPA CON TSIPRAS;70;;
LIMBADI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
LIMBADI;VERDI EUROPEI-GREEN ITALIA;6;;
LIMBADI;ITALIA DEI VALORI;4;;
LIMBADI;IO CAMBIO - MAIE;2;;
LIMBADI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
LIMBADI;SCELTA EUROPEA;0;;
MAIERATO;PARTITO DEMOCRATICO;370;;
MAIERATO;FORZA ITALIA;175;;
MAIERATO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;68;;
MAIERATO;NUOVO CENTRO DESTRA - UDC;43;;
MAIERATO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
MAIERATO;L'ALTRA EUROPA CON TSIPRAS;12;;
MAIERATO;ITALIA DEI VALORI;6;;
MAIERATO;SCELTA EUROPEA;3;;
MAIERATO;VERDI EUROPEI-GREEN ITALIA;2;;
MAIERATO;IO CAMBIO - MAIE;0;;
MAIERATO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;0;;
MILETO;FORZA ITALIA;1256;;
MILETO;PARTITO DEMOCRATICO;1128;;
MILETO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;517;;
MILETO;NUOVO CENTRO DESTRA - UDC;457;;
MILETO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;93;;
MILETO;L'ALTRA EUROPA CON TSIPRAS;62;;
MILETO;SCELTA EUROPEA;60;;
MILETO;ITALIA DEI VALORI;36;;
MILETO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;24;;
MILETO;VERDI EUROPEI-GREEN ITALIA;10;;
MILETO;IO CAMBIO - MAIE;9;;
MONGIANA;PARTITO DEMOCRATICO;175;;
MONGIANA;NUOVO CENTRO DESTRA - UDC;113;;
MONGIANA;FORZA ITALIA;74;;
MONGIANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;43;;
MONGIANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;22;;
MONGIANA;L'ALTRA EUROPA CON TSIPRAS;12;;
MONGIANA;SCELTA EUROPEA;6;;
MONGIANA;IO CAMBIO - MAIE;3;;
MONGIANA;VERDI EUROPEI-GREEN ITALIA;2;;
MONGIANA;ITALIA DEI VALORI;1;;
MONGIANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
MONTEROSSO CALABRO;PARTITO DEMOCRATICO;322;;
MONTEROSSO CALABRO;FORZA ITALIA;145;;
MONTEROSSO CALABRO;NUOVO CENTRO DESTRA - UDC;114;;
MONTEROSSO CALABRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;66;;
MONTEROSSO CALABRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
MONTEROSSO CALABRO;L'ALTRA EUROPA CON TSIPRAS;6;;
MONTEROSSO CALABRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
MONTEROSSO CALABRO;IO CAMBIO - MAIE;2;;
MONTEROSSO CALABRO;SCELTA EUROPEA;2;;
MONTEROSSO CALABRO;VERDI EUROPEI-GREEN ITALIA;1;;
MONTEROSSO CALABRO;ITALIA DEI VALORI;0;;
NARDODIPACE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;255;;
NARDODIPACE;PARTITO DEMOCRATICO;125;;
NARDODIPACE;NUOVO CENTRO DESTRA - UDC;80;;
NARDODIPACE;FORZA ITALIA;28;;
NARDODIPACE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;20;;
NARDODIPACE;IO CAMBIO - MAIE;2;;
NARDODIPACE;ITALIA DEI VALORI;2;;
NARDODIPACE;VERDI EUROPEI-GREEN ITALIA;2;;
NARDODIPACE;L'ALTRA EUROPA CON TSIPRAS;1;;
NARDODIPACE;SCELTA EUROPEA;1;;
NARDODIPACE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
NICOTERA;PARTITO DEMOCRATICO;688;;
NICOTERA;FORZA ITALIA;490;;
NICOTERA;NUOVO CENTRO DESTRA - UDC;350;;
NICOTERA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;260;;
NICOTERA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;52;;
NICOTERA;L'ALTRA EUROPA CON TSIPRAS;33;;
NICOTERA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
NICOTERA;VERDI EUROPEI-GREEN ITALIA;9;;
NICOTERA;SCELTA EUROPEA;5;;
NICOTERA;IO CAMBIO - MAIE;2;;
NICOTERA;ITALIA DEI VALORI;1;;
PARGHELIA;PARTITO DEMOCRATICO;225;;
PARGHELIA;FORZA ITALIA;105;;
PARGHELIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;72;;
PARGHELIA;L'ALTRA EUROPA CON TSIPRAS;65;;
PARGHELIA;NUOVO CENTRO DESTRA - UDC;38;;
PARGHELIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;16;;
PARGHELIA;SCELTA EUROPEA;2;;
PARGHELIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;2;;
PARGHELIA;ITALIA DEI VALORI;2;;
PARGHELIA;IO CAMBIO - MAIE;2;;
PARGHELIA;VERDI EUROPEI-GREEN ITALIA;1;;
PIZZO;PARTITO DEMOCRATICO;1242;;
PIZZO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;641;;
PIZZO;FORZA ITALIA;501;;
PIZZO;NUOVO CENTRO DESTRA - UDC;247;;
PIZZO;L'ALTRA EUROPA CON TSIPRAS;150;;
PIZZO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;97;;
PIZZO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;17;;
PIZZO;VERDI EUROPEI-GREEN ITALIA;14;;
PIZZO;ITALIA DEI VALORI;8;;
PIZZO;IO CAMBIO - MAIE;4;;
PIZZO;SCELTA EUROPEA;3;;
PIZZONI;PARTITO DEMOCRATICO;265;;
PIZZONI;FORZA ITALIA;153;;
PIZZONI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;133;;
PIZZONI;NUOVO CENTRO DESTRA - UDC;46;;
PIZZONI;L'ALTRA EUROPA CON TSIPRAS;24;;
PIZZONI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;21;;
PIZZONI;ITALIA DEI VALORI;17;;
PIZZONI;SCELTA EUROPEA;17;;
PIZZONI;IO CAMBIO - MAIE;10;;
PIZZONI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;6;;
PIZZONI;VERDI EUROPEI-GREEN ITALIA;5;;
POLIA;PARTITO DEMOCRATICO;166;;
POLIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;57;;
POLIA;NUOVO CENTRO DESTRA - UDC;49;;
POLIA;FORZA ITALIA;45;;
POLIA;L'ALTRA EUROPA CON TSIPRAS;21;;
POLIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
POLIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;4;;
POLIA;VERDI EUROPEI-GREEN ITALIA;2;;
POLIA;SCELTA EUROPEA;2;;
POLIA;ITALIA DEI VALORI;0;;
POLIA;IO CAMBIO - MAIE;0;;
RICADI;PARTITO DEMOCRATICO;793;;
RICADI;NUOVO CENTRO DESTRA - UDC;371;;
RICADI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;280;;
RICADI;FORZA ITALIA;197;;
RICADI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;91;;
RICADI;L'ALTRA EUROPA CON TSIPRAS;66;;
RICADI;VERDI EUROPEI-GREEN ITALIA;18;;
RICADI;ITALIA DEI VALORI;8;;
RICADI;SCELTA EUROPEA;8;;
RICADI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
RICADI;IO CAMBIO - MAIE;1;;
ROMBIOLO;PARTITO DEMOCRATICO;1278;;
ROMBIOLO;FORZA ITALIA;626;;
ROMBIOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;441;;
ROMBIOLO;NUOVO CENTRO DESTRA - UDC;126;;
ROMBIOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;74;;
ROMBIOLO;L'ALTRA EUROPA CON TSIPRAS;38;;
ROMBIOLO;VERDI EUROPEI-GREEN ITALIA;36;;
ROMBIOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;13;;
ROMBIOLO;SCELTA EUROPEA;10;;
ROMBIOLO;IO CAMBIO - MAIE;5;;
ROMBIOLO;ITALIA DEI VALORI;4;;
SAN CALOGERO;PARTITO DEMOCRATICO;493;;
SAN CALOGERO;FORZA ITALIA;344;;
SAN CALOGERO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;219;;
SAN CALOGERO;NUOVO CENTRO DESTRA - UDC;72;;
SAN CALOGERO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;60;;
SAN CALOGERO;L'ALTRA EUROPA CON TSIPRAS;29;;
SAN CALOGERO;SCELTA EUROPEA;19;;
SAN CALOGERO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
SAN CALOGERO;ITALIA DEI VALORI;4;;
SAN CALOGERO;VERDI EUROPEI-GREEN ITALIA;3;;
SAN CALOGERO;IO CAMBIO - MAIE;2;;
SAN COSTANTINO CALABRO;PARTITO DEMOCRATICO;323;;
