

Ente;Liste/Gruppi;Voti;
BORGORATTO MORMOROLO;PARTITO DEMOCRATICO;67;;
BORGORATTO MORMOROLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;46;;
BORGORATTO MORMOROLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;42;;
BORGORATTO MORMOROLO;FORZA ITALIA;30;;
BORGORATTO MORMOROLO;NUOVO CENTRO DESTRA - UDC;16;;
BORGORATTO MORMOROLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
BORGORATTO MORMOROLO;L'ALTRA EUROPA CON TSIPRAS;6;;
BORGORATTO MORMOROLO;VERDI EUROPEI-GREEN ITALIA;2;;
BORGORATTO MORMOROLO;IO CAMBIO - MAIE;0;;
BORGORATTO MORMOROLO;ITALIA DEI VALORI;0;;
BORGORATTO MORMOROLO;SCELTA EUROPEA;0;;
BORGO SAN SIRO;PARTITO DEMOCRATICO;177;;
BORGO SAN SIRO;FORZA ITALIA;117;;
BORGO SAN SIRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;88;;
BORGO SAN SIRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;64;;
BORGO SAN SIRO;NUOVO CENTRO DESTRA - UDC;21;;
BORGO SAN SIRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
BORGO SAN SIRO;ITALIA DEI VALORI;5;;
BORGO SAN SIRO;L'ALTRA EUROPA CON TSIPRAS;5;;
BORGO SAN SIRO;SCELTA EUROPEA;4;;
BORGO SAN SIRO;VERDI EUROPEI-GREEN ITALIA;2;;
BORGO SAN SIRO;IO CAMBIO - MAIE;1;;
BORNASCO;PARTITO DEMOCRATICO;430;;
BORNASCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;371;;
BORNASCO;FORZA ITALIA;219;;
BORNASCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;200;;
BORNASCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;51;;
BORNASCO;L'ALTRA EUROPA CON TSIPRAS;44;;
BORNASCO;NUOVO CENTRO DESTRA - UDC;22;;
BORNASCO;VERDI EUROPEI-GREEN ITALIA;18;;
BORNASCO;ITALIA DEI VALORI;13;;
BORNASCO;SCELTA EUROPEA;12;;
BORNASCO;IO CAMBIO - MAIE;2;;
BOSNASCO;PARTITO DEMOCRATICO;131;;
BOSNASCO;FORZA ITALIA;74;;
BOSNASCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;65;;
BOSNASCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;47;;
BOSNASCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
BOSNASCO;NUOVO CENTRO DESTRA - UDC;9;;
BOSNASCO;ITALIA DEI VALORI;2;;
BOSNASCO;VERDI EUROPEI-GREEN ITALIA;2;;
BOSNASCO;L'ALTRA EUROPA CON TSIPRAS;2;;
BOSNASCO;IO CAMBIO - MAIE;1;;
BOSNASCO;SCELTA EUROPEA;0;;
BRALLO DI PREGOLA;PARTITO DEMOCRATICO;148;;
BRALLO DI PREGOLA;FORZA ITALIA;80;;
BRALLO DI PREGOLA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;76;;
BRALLO DI PREGOLA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;63;;
BRALLO DI PREGOLA;NUOVO CENTRO DESTRA - UDC;16;;
BRALLO DI PREGOLA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
BRALLO DI PREGOLA;ITALIA DEI VALORI;6;;
BRALLO DI PREGOLA;L'ALTRA EUROPA CON TSIPRAS;5;;
BRALLO DI PREGOLA;VERDI EUROPEI-GREEN ITALIA;3;;
BRALLO DI PREGOLA;IO CAMBIO - MAIE;1;;
BRALLO DI PREGOLA;SCELTA EUROPEA;1;;
BREME;PARTITO DEMOCRATICO;118;;
BREME;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;73;;
BREME;FORZA ITALIA;67;;
BREME;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;62;;
BREME;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;12;;
BREME;NUOVO CENTRO DESTRA - UDC;5;;
BREME;ITALIA DEI VALORI;2;;
BREME;SCELTA EUROPEA;2;;
BREME;L'ALTRA EUROPA CON TSIPRAS;1;;
BREME;VERDI EUROPEI-GREEN ITALIA;1;;
BREME;IO CAMBIO - MAIE;0;;
BRESSANA BOTTARONE;PARTITO DEMOCRATICO;798;;
BRESSANA BOTTARONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;401;;
BRESSANA BOTTARONE;FORZA ITALIA;341;;
BRESSANA BOTTARONE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;256;;
BRESSANA BOTTARONE;L'ALTRA EUROPA CON TSIPRAS;55;;
BRESSANA BOTTARONE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;44;;
BRESSANA BOTTARONE;NUOVO CENTRO DESTRA - UDC;32;;
BRESSANA BOTTARONE;VERDI EUROPEI-GREEN ITALIA;17;;
BRESSANA BOTTARONE;SCELTA EUROPEA;17;;
BRESSANA BOTTARONE;ITALIA DEI VALORI;14;;
BRESSANA BOTTARONE;IO CAMBIO - MAIE;5;;
BRONI;PARTITO DEMOCRATICO;1849;;
BRONI;FORZA ITALIA;779;;
BRONI;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;646;;
BRONI;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;563;;
BRONI;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;165;;
BRONI;L'ALTRA EUROPA CON TSIPRAS;92;;
BRONI;NUOVO CENTRO DESTRA - UDC;91;;
BRONI;SCELTA EUROPEA;36;;
BRONI;ITALIA DEI VALORI;22;;
BRONI;VERDI EUROPEI-GREEN ITALIA;17;;
BRONI;IO CAMBIO - MAIE;7;;
CALVIGNANO;PARTITO DEMOCRATICO;16;;
CALVIGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;12;;
CALVIGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;11;;
CALVIGNANO;FORZA ITALIA;8;;
CALVIGNANO;L'ALTRA EUROPA CON TSIPRAS;5;;
CALVIGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
CALVIGNANO;NUOVO CENTRO DESTRA - UDC;0;;
CALVIGNANO;IO CAMBIO - MAIE;0;;
CALVIGNANO;ITALIA DEI VALORI;0;;
CALVIGNANO;VERDI EUROPEI-GREEN ITALIA;0;;
CALVIGNANO;SCELTA EUROPEA;0;;
CAMPOSPINOSO;PARTITO DEMOCRATICO;208;;
CAMPOSPINOSO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;113;;
CAMPOSPINOSO;FORZA ITALIA;102;;
CAMPOSPINOSO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;83;;
CAMPOSPINOSO;L'ALTRA EUROPA CON TSIPRAS;10;;
CAMPOSPINOSO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;10;;
CAMPOSPINOSO;NUOVO CENTRO DESTRA - UDC;8;;
CAMPOSPINOSO;ITALIA DEI VALORI;5;;
CAMPOSPINOSO;SCELTA EUROPEA;4;;
CAMPOSPINOSO;VERDI EUROPEI-GREEN ITALIA;3;;
CAMPOSPINOSO;IO CAMBIO - MAIE;1;;
CANDIA LOMELLINA;PARTITO DEMOCRATICO;358;;
CANDIA LOMELLINA;FORZA ITALIA;215;;
CANDIA LOMELLINA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;147;;
CANDIA LOMELLINA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;128;;
CANDIA LOMELLINA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;29;;
CANDIA LOMELLINA;L'ALTRA EUROPA CON TSIPRAS;27;;
CANDIA LOMELLINA;NUOVO CENTRO DESTRA - UDC;20;;
CANDIA LOMELLINA;ITALIA DEI VALORI;15;;
CANDIA LOMELLINA;VERDI EUROPEI-GREEN ITALIA;7;;
CANDIA LOMELLINA;SCELTA EUROPEA;4;;
CANDIA LOMELLINA;IO CAMBIO - MAIE;2;;
CANEVINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;33;;
CANEVINO;PARTITO DEMOCRATICO;11;;
CANEVINO;FORZA ITALIA;9;;
CANEVINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;9;;
CANEVINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;8;;
CANEVINO;NUOVO CENTRO DESTRA - UDC;2;;
CANEVINO;ITALIA DEI VALORI;2;;
CANEVINO;IO CAMBIO - MAIE;0;;
CANEVINO;L'ALTRA EUROPA CON TSIPRAS;0;;
CANEVINO;VERDI EUROPEI-GREEN ITALIA;0;;
CANEVINO;SCELTA EUROPEA;0;;
CANNETO PAVESE;PARTITO DEMOCRATICO;289;;
CANNETO PAVESE;FORZA ITALIA;177;;
CANNETO PAVESE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;106;;
CANNETO PAVESE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;97;;
CANNETO PAVESE;L'ALTRA EUROPA CON TSIPRAS;37;;
CANNETO PAVESE;NUOVO CENTRO DESTRA - UDC;25;;
CANNETO PAVESE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;20;;
CANNETO PAVESE;VERDI EUROPEI-GREEN ITALIA;12;;
CANNETO PAVESE;SCELTA EUROPEA;5;;
CANNETO PAVESE;ITALIA DEI VALORI;2;;
CANNETO PAVESE;IO CAMBIO - MAIE;2;;
CARBONARA AL TICINO;PARTITO DEMOCRATICO;392;;
CARBONARA AL TICINO;FORZA ITALIA;157;;
CARBONARA AL TICINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;141;;
CARBONARA AL TICINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;124;;
CARBONARA AL TICINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;27;;
CARBONARA AL TICINO;NUOVO CENTRO DESTRA - UDC;23;;
CARBONARA AL TICINO;L'ALTRA EUROPA CON TSIPRAS;21;;
CARBONARA AL TICINO;VERDI EUROPEI-GREEN ITALIA;11;;
CARBONARA AL TICINO;ITALIA DEI VALORI;4;;
CARBONARA AL TICINO;IO CAMBIO - MAIE;3;;
CARBONARA AL TICINO;SCELTA EUROPEA;2;;
