

Ente;Liste/Gruppi;Voti;
GALLICANO;PARTITO DEMOCRATICO;1196;;
GALLICANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;470;;
GALLICANO;FORZA ITALIA;294;;
GALLICANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;76;;
GALLICANO;L'ALTRA EUROPA CON TSIPRAS;74;;
GALLICANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;69;;
GALLICANO;NUOVO CENTRO DESTRA - UDC;40;;
GALLICANO;ITALIA DEI VALORI;22;;
GALLICANO;VERDI EUROPEI-GREEN ITALIA;16;;
GALLICANO;SCELTA EUROPEA;9;;
GALLICANO;IO CAMBIO - MAIE;4;;
GIUNCUGNANO;PARTITO DEMOCRATICO;147;;
GIUNCUGNANO;FORZA ITALIA;85;;
GIUNCUGNANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;34;;
GIUNCUGNANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;19;;
GIUNCUGNANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;14;;
GIUNCUGNANO;NUOVO CENTRO DESTRA - UDC;2;;
GIUNCUGNANO;VERDI EUROPEI-GREEN ITALIA;2;;
GIUNCUGNANO;L'ALTRA EUROPA CON TSIPRAS;1;;
GIUNCUGNANO;ITALIA DEI VALORI;1;;
GIUNCUGNANO;SCELTA EUROPEA;0;;
GIUNCUGNANO;IO CAMBIO - MAIE;0;;
LUCCA;PARTITO DEMOCRATICO;19549;;
LUCCA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7170;;
LUCCA;FORZA ITALIA;4762;;
LUCCA;L'ALTRA EUROPA CON TSIPRAS;2257;;
LUCCA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1181;;
LUCCA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;1149;;
LUCCA;NUOVO CENTRO DESTRA - UDC;991;;
LUCCA;SCELTA EUROPEA;556;;
LUCCA;VERDI EUROPEI-GREEN ITALIA;331;;
LUCCA;ITALIA DEI VALORI;168;;
LUCCA;IO CAMBIO - MAIE;56;;
MASSAROSA;PARTITO DEMOCRATICO;5445;;
MASSAROSA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2556;;
MASSAROSA;FORZA ITALIA;1979;;
MASSAROSA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;665;;
MASSAROSA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;490;;
MASSAROSA;L'ALTRA EUROPA CON TSIPRAS;445;;
MASSAROSA;NUOVO CENTRO DESTRA - UDC;228;;
MASSAROSA;VERDI EUROPEI-GREEN ITALIA;113;;
MASSAROSA;ITALIA DEI VALORI;59;;
MASSAROSA;SCELTA EUROPEA;48;;
MASSAROSA;IO CAMBIO - MAIE;10;;
MINUCCIANO;PARTITO DEMOCRATICO;657;;
MINUCCIANO;FORZA ITALIA;290;;
MINUCCIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;193;;
MINUCCIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;50;;
MINUCCIANO;L'ALTRA EUROPA CON TSIPRAS;49;;
MINUCCIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;36;;
MINUCCIANO;NUOVO CENTRO DESTRA - UDC;35;;
MINUCCIANO;ITALIA DEI VALORI;14;;
MINUCCIANO;SCELTA EUROPEA;13;;
MINUCCIANO;VERDI EUROPEI-GREEN ITALIA;5;;
MINUCCIANO;IO CAMBIO - MAIE;3;;
MOLAZZANA;PARTITO DEMOCRATICO;447;;
MOLAZZANA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;103;;
MOLAZZANA;FORZA ITALIA;64;;
MOLAZZANA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;21;;
MOLAZZANA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;21;;
MOLAZZANA;L'ALTRA EUROPA CON TSIPRAS;20;;
MOLAZZANA;VERDI EUROPEI-GREEN ITALIA;9;;
MOLAZZANA;NUOVO CENTRO DESTRA - UDC;8;;
MOLAZZANA;SCELTA EUROPEA;3;;
MOLAZZANA;IO CAMBIO - MAIE;1;;
MOLAZZANA;ITALIA DEI VALORI;1;;
MONTECARLO;PARTITO DEMOCRATICO;1162;;
MONTECARLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;498;;
