

Ente;Liste/Gruppi;Voti;
LATERA;PARTITO DEMOCRATICO;182;;
LATERA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;90;;
LATERA;FORZA ITALIA;68;;
LATERA;NUOVO CENTRO DESTRA - UDC;21;;
LATERA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;15;;
LATERA;L'ALTRA EUROPA CON TSIPRAS;14;;
LATERA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;8;;
LATERA;VERDI EUROPEI-GREEN ITALIA;5;;
LATERA;ITALIA DEI VALORI;2;;
LATERA;IO CAMBIO - MAIE;1;;
LATERA;SCELTA EUROPEA;0;;
LUBRIANO;PARTITO DEMOCRATICO;214;;
LUBRIANO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;82;;
LUBRIANO;FORZA ITALIA;54;;
LUBRIANO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;19;;
LUBRIANO;NUOVO CENTRO DESTRA - UDC;14;;
LUBRIANO;L'ALTRA EUROPA CON TSIPRAS;9;;
LUBRIANO;ITALIA DEI VALORI;4;;
LUBRIANO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
LUBRIANO;IO CAMBIO - MAIE;2;;
LUBRIANO;VERDI EUROPEI-GREEN ITALIA;2;;
LUBRIANO;SCELTA EUROPEA;0;;
MARTA;PARTITO DEMOCRATICO;582;;
MARTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;456;;
MARTA;FORZA ITALIA;270;;
MARTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;63;;
MARTA;NUOVO CENTRO DESTRA - UDC;45;;
MARTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;41;;
MARTA;L'ALTRA EUROPA CON TSIPRAS;25;;
MARTA;VERDI EUROPEI-GREEN ITALIA;12;;
MARTA;SCELTA EUROPEA;4;;
MARTA;ITALIA DEI VALORI;1;;
MARTA;IO CAMBIO - MAIE;1;;
MONTALTO DI CASTRO;PARTITO DEMOCRATICO;1654;;
MONTALTO DI CASTRO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;950;;
MONTALTO DI CASTRO;FORZA ITALIA;852;;
MONTALTO DI CASTRO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;282;;
MONTALTO DI CASTRO;NUOVO CENTRO DESTRA - UDC;100;;
MONTALTO DI CASTRO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;81;;
MONTALTO DI CASTRO;L'ALTRA EUROPA CON TSIPRAS;75;;
MONTALTO DI CASTRO;ITALIA DEI VALORI;15;;
MONTALTO DI CASTRO;VERDI EUROPEI-GREEN ITALIA;9;;
MONTALTO DI CASTRO;IO CAMBIO - MAIE;7;;
MONTALTO DI CASTRO;SCELTA EUROPEA;5;;
MONTEFIASCONE;PARTITO DEMOCRATICO;2474;;
MONTEFIASCONE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1363;;
MONTEFIASCONE;FORZA ITALIA;1233;;
