

Ente;Liste/Gruppi;Voti;
BELVEDERE LANGHE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;33;;
BELVEDERE LANGHE;FORZA ITALIA;26;;
BELVEDERE LANGHE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;23;;
BELVEDERE LANGHE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;17;;
BELVEDERE LANGHE;NUOVO CENTRO DESTRA - UDC;11;;
BELVEDERE LANGHE;L'ALTRA EUROPA CON TSIPRAS;4;;
BELVEDERE LANGHE;SCELTA EUROPEA;3;;
BELVEDERE LANGHE;VERDI EUROPEI-GREEN ITALIA;1;;
BELVEDERE LANGHE;ITALIA DEI VALORI;0;;
BELVEDERE LANGHE;IO CAMBIO - MAIE;0;;
BENE VAGIENNA;PARTITO DEMOCRATICO;524;;
BENE VAGIENNA;FORZA ITALIA;310;;
BENE VAGIENNA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;288;;
BENE VAGIENNA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;171;;
BENE VAGIENNA;NUOVO CENTRO DESTRA - UDC;74;;
BENE VAGIENNA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;35;;
BENE VAGIENNA;L'ALTRA EUROPA CON TSIPRAS;30;;
BENE VAGIENNA;VERDI EUROPEI-GREEN ITALIA;15;;
BENE VAGIENNA;ITALIA DEI VALORI;9;;
BENE VAGIENNA;SCELTA EUROPEA;9;;
BENE VAGIENNA;IO CAMBIO - MAIE;2;;
BENEVELLO;FORZA ITALIA;75;;
BENEVELLO;PARTITO DEMOCRATICO;58;;
BENEVELLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;45;;
BENEVELLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;14;;
BENEVELLO;L'ALTRA EUROPA CON TSIPRAS;7;;
BENEVELLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
BENEVELLO;NUOVO CENTRO DESTRA - UDC;5;;
BENEVELLO;VERDI EUROPEI-GREEN ITALIA;3;;
BENEVELLO;IO CAMBIO - MAIE;2;;
BENEVELLO;ITALIA DEI VALORI;1;;
BENEVELLO;SCELTA EUROPEA;0;;
BERGOLO;PARTITO DEMOCRATICO;16;;
BERGOLO;FORZA ITALIA;7;;
BERGOLO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;3;;
BERGOLO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2;;
BERGOLO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
BERGOLO;NUOVO CENTRO DESTRA - UDC;0;;
BERGOLO;IO CAMBIO - MAIE;0;;
BERGOLO;L'ALTRA EUROPA CON TSIPRAS;0;;
BERGOLO;ITALIA DEI VALORI;0;;
BERGOLO;VERDI EUROPEI-GREEN ITALIA;0;;
BERGOLO;SCELTA EUROPEA;0;;
BERNEZZO;PARTITO DEMOCRATICO;914;;
BERNEZZO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;442;;
BERNEZZO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;248;;
BERNEZZO;FORZA ITALIA;225;;
BERNEZZO;NUOVO CENTRO DESTRA - UDC;89;;
BERNEZZO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;87;;
BERNEZZO;L'ALTRA EUROPA CON TSIPRAS;62;;
BERNEZZO;ITALIA DEI VALORI;22;;
BERNEZZO;VERDI EUROPEI-GREEN ITALIA;18;;
BERNEZZO;SCELTA EUROPEA;8;;
BERNEZZO;IO CAMBIO - MAIE;4;;
BONVICINO;PARTITO DEMOCRATICO;16;;
BONVICINO;FORZA ITALIA;16;;
BONVICINO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;11;;
BONVICINO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;4;;
BONVICINO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;3;;
BONVICINO;NUOVO CENTRO DESTRA - UDC;2;;
BONVICINO;L'ALTRA EUROPA CON TSIPRAS;2;;
BONVICINO;VERDI EUROPEI-GREEN ITALIA;1;;
BONVICINO;IO CAMBIO - MAIE;0;;
BONVICINO;ITALIA DEI VALORI;0;;
BONVICINO;SCELTA EUROPEA;0;;
BORGOMALE;PARTITO DEMOCRATICO;65;;
BORGOMALE;FORZA ITALIA;55;;
BORGOMALE;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;44;;
BORGOMALE;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;26;;
BORGOMALE;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;11;;
BORGOMALE;VERDI EUROPEI-GREEN ITALIA;7;;
BORGOMALE;L'ALTRA EUROPA CON TSIPRAS;4;;
BORGOMALE;ITALIA DEI VALORI;3;;
BORGOMALE;NUOVO CENTRO DESTRA - UDC;3;;
BORGOMALE;IO CAMBIO - MAIE;0;;
BORGOMALE;SCELTA EUROPEA;0;;
BORGO SAN DALMAZZO;PARTITO DEMOCRATICO;2529;;
BORGO SAN DALMAZZO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;1162;;
BORGO SAN DALMAZZO;FORZA ITALIA;738;;
BORGO SAN DALMAZZO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;495;;
BORGO SAN DALMAZZO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;256;;
BORGO SAN DALMAZZO;L'ALTRA EUROPA CON TSIPRAS;240;;
BORGO SAN DALMAZZO;NUOVO CENTRO DESTRA - UDC;188;;
BORGO SAN DALMAZZO;ITALIA DEI VALORI;55;;
BORGO SAN DALMAZZO;SCELTA EUROPEA;47;;
BORGO SAN DALMAZZO;VERDI EUROPEI-GREEN ITALIA;44;;
BORGO SAN DALMAZZO;IO CAMBIO - MAIE;13;;
BOSIA;FORZA ITALIA;51;;
BOSIA;PARTITO DEMOCRATICO;20;;
BOSIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;18;;
BOSIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;16;;
BOSIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;9;;
BOSIA;L'ALTRA EUROPA CON TSIPRAS;2;;
BOSIA;NUOVO CENTRO DESTRA - UDC;0;;
BOSIA;IO CAMBIO - MAIE;0;;
BOSIA;ITALIA DEI VALORI;0;;
BOSIA;VERDI EUROPEI-GREEN ITALIA;0;;
BOSIA;SCELTA EUROPEA;0;;
BOSSOLASCO;FORZA ITALIA;111;;
BOSSOLASCO;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;97;;
BOSSOLASCO;PARTITO DEMOCRATICO;96;;
BOSSOLASCO;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;20;;
BOSSOLASCO;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;17;;
BOSSOLASCO;NUOVO CENTRO DESTRA - UDC;14;;
BOSSOLASCO;L'ALTRA EUROPA CON TSIPRAS;5;;
BOSSOLASCO;VERDI EUROPEI-GREEN ITALIA;4;;
BOSSOLASCO;ITALIA DEI VALORI;4;;
BOSSOLASCO;IO CAMBIO - MAIE;2;;
BOSSOLASCO;SCELTA EUROPEA;2;;
BOVES;PARTITO DEMOCRATICO;2036;;
BOVES;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;935;;
BOVES;FORZA ITALIA;760;;
BOVES;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;503;;
BOVES;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;274;;
BOVES;NUOVO CENTRO DESTRA - UDC;273;;
BOVES;L'ALTRA EUROPA CON TSIPRAS;231;;
BOVES;VERDI EUROPEI-GREEN ITALIA;71;;
BOVES;ITALIA DEI VALORI;52;;
BOVES;SCELTA EUROPEA;41;;
BOVES;IO CAMBIO - MAIE;17;;
BRA;PARTITO DEMOCRATICO;5899;;
BRA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;2994;;
BRA;FORZA ITALIA;2655;;
BRA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1266;;
BRA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;888;;
BRA;NUOVO CENTRO DESTRA - UDC;512;;
BRA;L'ALTRA EUROPA CON TSIPRAS;507;;
BRA;VERDI EUROPEI-GREEN ITALIA;176;;
BRA;ITALIA DEI VALORI;140;;
BRA;SCELTA EUROPEA;102;;
BRA;IO CAMBIO - MAIE;35;;
BRIAGLIA;PARTITO DEMOCRATICO;51;;
BRIAGLIA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;47;;
BRIAGLIA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;30;;
BRIAGLIA;FORZA ITALIA;26;;
BRIAGLIA;NUOVO CENTRO DESTRA - UDC;11;;
BRIAGLIA;L'ALTRA EUROPA CON TSIPRAS;9;;
BRIAGLIA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;6;;
BRIAGLIA;IO CAMBIO - MAIE;1;;
BRIAGLIA;ITALIA DEI VALORI;1;;
BRIAGLIA;VERDI EUROPEI-GREEN ITALIA;1;;
BRIAGLIA;SCELTA EUROPEA;1;;
BRIGA ALTA;FORZA ITALIA;7;;
BRIGA ALTA;MOVIMENTO 5 STELLE BEPPEGRILLO.IT;7;;
BRIGA ALTA;FRATELLI D'ITALIA - ALLEANZA NAZIONALE;7;;
BRIGA ALTA;PARTITO DEMOCRATICO;6;;
BRIGA ALTA;L'ALTRA EUROPA CON TSIPRAS;3;;
BRIGA ALTA;LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO;1;;
BRIGA ALTA;ITALIA DEI VALORI;1;;
BRIGA ALTA;NUOVO CENTRO DESTRA - UDC;0;;
BRIGA ALTA;IO CAMBIO - MAIE;0;;
BRIGA ALTA;VERDI EUROPEI-GREEN ITALIA;0;;
BRIGA ALTA;SCELTA EUROPEA;0;;
BRONDELLO;PARTITO DEMOCRATICO;38;;
