Ente,Liste/Gruppi,Voti,nomefile
CASALROMANO,FORZA ITALIA,145,MANTOVA
CASALROMANO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,143,MANTOVA
CASALROMANO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,30,MANTOVA
CASALROMANO,L'ALTRA EUROPA CON TSIPRAS,20,MANTOVA
CASALROMANO,NUOVO CENTRO DESTRA - UDC,19,MANTOVA
CASALROMANO,ITALIA DEI VALORI,13,MANTOVA
CASALROMANO,SCELTA EUROPEA,6,MANTOVA
CASALROMANO,IO CAMBIO - MAIE,3,MANTOVA
CASALROMANO,VERDI EUROPEI-GREEN ITALIA,2,MANTOVA
CASTELBELFORTE,PARTITO DEMOCRATICO,660,MANTOVA
CASTELBELFORTE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,358,MANTOVA
CASTELBELFORTE,FORZA ITALIA,301,MANTOVA
CASTELBELFORTE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,267,MANTOVA
CASTELBELFORTE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,38,MANTOVA
CASTELBELFORTE,NUOVO CENTRO DESTRA - UDC,37,MANTOVA
CASTELBELFORTE,L'ALTRA EUROPA CON TSIPRAS,27,MANTOVA
CASTELBELFORTE,ITALIA DEI VALORI,18,MANTOVA
CASTELBELFORTE,VERDI EUROPEI-GREEN ITALIA,13,MANTOVA
CASTELBELFORTE,SCELTA EUROPEA,5,MANTOVA
CASTELBELFORTE,IO CAMBIO - MAIE,3,MANTOVA
CASTEL D'ARIO,PARTITO DEMOCRATICO,774,MANTOVA
CASTEL D'ARIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,401,MANTOVA
CASTEL D'ARIO,FORZA ITALIA,271,MANTOVA
CASTEL D'ARIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,180,MANTOVA
CASTEL D'ARIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,55,MANTOVA
CASTEL D'ARIO,L'ALTRA EUROPA CON TSIPRAS,40,MANTOVA
CASTEL D'ARIO,NUOVO CENTRO DESTRA - UDC,32,MANTOVA
CASTEL D'ARIO,VERDI EUROPEI-GREEN ITALIA,18,MANTOVA
CASTEL D'ARIO,ITALIA DEI VALORI,14,MANTOVA
CASTEL D'ARIO,SCELTA EUROPEA,12,MANTOVA
CASTEL D'ARIO,IO CAMBIO - MAIE,2,MANTOVA
CASTEL GOFFREDO,PARTITO DEMOCRATICO,1628,MANTOVA
CASTEL GOFFREDO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,946,MANTOVA
CASTEL GOFFREDO,FORZA ITALIA,929,MANTOVA
CASTEL GOFFREDO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,668,MANTOVA
CASTEL GOFFREDO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,175,MANTOVA
CASTEL GOFFREDO,NUOVO CENTRO DESTRA - UDC,141,MANTOVA
CASTEL GOFFREDO,L'ALTRA EUROPA CON TSIPRAS,60,MANTOVA
CASTEL GOFFREDO,VERDI EUROPEI-GREEN ITALIA,37,MANTOVA
CASTEL GOFFREDO,SCELTA EUROPEA,32,MANTOVA
CASTEL GOFFREDO,ITALIA DEI VALORI,30,MANTOVA
CASTEL GOFFREDO,IO CAMBIO - MAIE,6,MANTOVA
CASTELLUCCHIO,PARTITO DEMOCRATICO,1165,MANTOVA
CASTELLUCCHIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,393,MANTOVA
CASTELLUCCHIO,FORZA ITALIA,373,MANTOVA
CASTELLUCCHIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,246,MANTOVA
CASTELLUCCHIO,NUOVO CENTRO DESTRA - UDC,90,MANTOVA
CASTELLUCCHIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,84,MANTOVA
CASTELLUCCHIO,L'ALTRA EUROPA CON TSIPRAS,33,MANTOVA
CASTELLUCCHIO,VERDI EUROPEI-GREEN ITALIA,16,MANTOVA
CASTELLUCCHIO,ITALIA DEI VALORI,15,MANTOVA
CASTELLUCCHIO,IO CAMBIO - MAIE,11,MANTOVA
CASTELLUCCHIO,SCELTA EUROPEA,8,MANTOVA
CASTIGLIONE DELLE STIVIERE,PARTITO DEMOCRATICO,3513,MANTOVA
CASTIGLIONE DELLE STIVIERE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,1659,MANTOVA
CASTIGLIONE DELLE STIVIERE,FORZA ITALIA,1333,MANTOVA
CASTIGLIONE DELLE STIVIERE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1207,MANTOVA
CASTIGLIONE DELLE STIVIERE,NUOVO CENTRO DESTRA - UDC,357,MANTOVA
CASTIGLIONE DELLE STIVIERE,L'ALTRA EUROPA CON TSIPRAS,243,MANTOVA
CASTIGLIONE DELLE STIVIERE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,230,MANTOVA
CASTIGLIONE DELLE STIVIERE,VERDI EUROPEI-GREEN ITALIA,81,MANTOVA
CASTIGLIONE DELLE STIVIERE,SCELTA EUROPEA,54,MANTOVA
CASTIGLIONE DELLE STIVIERE,ITALIA DEI VALORI,52,MANTOVA
CASTIGLIONE DELLE STIVIERE,IO CAMBIO - MAIE,12,MANTOVA
CAVRIANA,PARTITO DEMOCRATICO,774,MANTOVA
CAVRIANA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,518,MANTOVA
CAVRIANA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,347,MANTOVA
CAVRIANA,FORZA ITALIA,343,MANTOVA
CAVRIANA,NUOVO CENTRO DESTRA - UDC,82,MANTOVA
CAVRIANA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,57,MANTOVA
CAVRIANA,L'ALTRA EUROPA CON TSIPRAS,51,MANTOVA
CAVRIANA,ITALIA DEI VALORI,20,MANTOVA
CAVRIANA,VERDI EUROPEI-GREEN ITALIA,15,MANTOVA
CAVRIANA,SCELTA EUROPEA,14,MANTOVA
CAVRIANA,IO CAMBIO - MAIE,5,MANTOVA
CERESARA,PARTITO DEMOCRATICO,477,MANTOVA
CERESARA,FORZA ITALIA,192,MANTOVA
CERESARA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,191,MANTOVA
CERESARA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,189,MANTOVA
CERESARA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,56,MANTOVA
CERESARA,NUOVO CENTRO DESTRA - UDC,39,MANTOVA
CERESARA,L'ALTRA EUROPA CON TSIPRAS,23,MANTOVA
CERESARA,ITALIA DEI VALORI,10,MANTOVA
CERESARA,SCELTA EUROPEA,9,MANTOVA
CERESARA,VERDI EUROPEI-GREEN ITALIA,7,MANTOVA
CERESARA,IO CAMBIO - MAIE,2,MANTOVA
COMMESSAGGIO,PARTITO DEMOCRATICO,233,MANTOVA
COMMESSAGGIO,FORZA ITALIA,113,MANTOVA
COMMESSAGGIO,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,104,MANTOVA
COMMESSAGGIO,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,102,MANTOVA
COMMESSAGGIO,NUOVO CENTRO DESTRA - UDC,27,MANTOVA
COMMESSAGGIO,L'ALTRA EUROPA CON TSIPRAS,24,MANTOVA
COMMESSAGGIO,VERDI EUROPEI-GREEN ITALIA,11,MANTOVA
COMMESSAGGIO,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,11,MANTOVA
