Ente,Liste/Gruppi,Voti,nomefile
FRANCAVILLA ANGITOLA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,110,VIBO VALENTIA
FRANCAVILLA ANGITOLA,FORZA ITALIA,101,VIBO VALENTIA
FRANCAVILLA ANGITOLA,NUOVO CENTRO DESTRA - UDC,98,VIBO VALENTIA
FRANCAVILLA ANGITOLA,SCELTA EUROPEA,13,VIBO VALENTIA
FRANCAVILLA ANGITOLA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,11,VIBO VALENTIA
FRANCAVILLA ANGITOLA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,9,VIBO VALENTIA
FRANCAVILLA ANGITOLA,ITALIA DEI VALORI,4,VIBO VALENTIA
FRANCAVILLA ANGITOLA,VERDI EUROPEI-GREEN ITALIA,3,VIBO VALENTIA
FRANCAVILLA ANGITOLA,L'ALTRA EUROPA CON TSIPRAS,3,VIBO VALENTIA
FRANCAVILLA ANGITOLA,IO CAMBIO - MAIE,1,VIBO VALENTIA
FRANCICA,FORZA ITALIA,153,VIBO VALENTIA
FRANCICA,PARTITO DEMOCRATICO,103,VIBO VALENTIA
FRANCICA,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,85,VIBO VALENTIA
FRANCICA,NUOVO CENTRO DESTRA - UDC,59,VIBO VALENTIA
FRANCICA,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,36,VIBO VALENTIA
FRANCICA,SCELTA EUROPEA,3,VIBO VALENTIA
FRANCICA,IO CAMBIO - MAIE,2,VIBO VALENTIA
FRANCICA,VERDI EUROPEI-GREEN ITALIA,2,VIBO VALENTIA
FRANCICA,ITALIA DEI VALORI,1,VIBO VALENTIA
FRANCICA,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,1,VIBO VALENTIA
FRANCICA,L'ALTRA EUROPA CON TSIPRAS,0,VIBO VALENTIA
GEROCARNE,PARTITO DEMOCRATICO,267,VIBO VALENTIA
GEROCARNE,NUOVO CENTRO DESTRA - UDC,223,VIBO VALENTIA
GEROCARNE,FORZA ITALIA,110,VIBO VALENTIA
GEROCARNE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,80,VIBO VALENTIA
GEROCARNE,FRATELLI D'ITALIA - ALLEANZA NAZIONALE,30,VIBO VALENTIA
GEROCARNE,L'ALTRA EUROPA CON TSIPRAS,16,VIBO VALENTIA
GEROCARNE,SCELTA EUROPEA,3,VIBO VALENTIA
GEROCARNE,LEGA NORD-DIE FREIHEITLICHEN-BASTA EURO,3,VIBO VALENTIA
GEROCARNE,ITALIA DEI VALORI,3,VIBO VALENTIA
